CustomerID,Lookalikes
C0001,"[('C0007', 0.9837575244140949), ('C0004', 0.9204114835668441), ('C0008', 0.8373911064330768)]"
C0002,"[('C0006', 0.9960886186091454), ('C0010', 0.9946359715228814), ('C0003', 0.962708978218519)]"
C0003,"[('C0002', 0.962708978218519), ('C0005', 0.9622052913570074), ('C0006', 0.9543562469212696)]"
C0004,"[('C0005', 0.9620107223189222), ('C0001', 0.9204114835668441), ('C0003', 0.8927917944147739)]"
C0005,"[('C0003', 0.9622052913570074), ('C0004', 0.9620107223189222), ('C0002', 0.8824044027891952)]"
C0006,"[('C0010', 0.997066548993315), ('C0002', 0.9960886186091454), ('C0003', 0.9543562469212696)]"
C0007,"[('C0001', 0.9837575244140949), ('C0008', 0.8847974901132735), ('C0004', 0.8545505666044347)]"
C0008,"[('C0002', 0.9448388113180204), ('C0006', 0.9447636917225087), ('C0010', 0.9425408809444504)]"
C0009,"[('C0010', 0.9688668812980414), ('C0006', 0.953280929935413), ('C0002', 0.9383589904200674)]"
C0010,"[('C0006', 0.997066548993315), ('C0002', 0.9946359715228814), ('C0009', 0.9688668812980414)]"
C0011,"[('C0020', 0.9969892709878319), ('C0015', 0.9894789384738304), ('C0019', 0.981883167964247)]"
C0012,"[('C0013', 0.9703438727833874), ('C0016', 0.955818224594265), ('C0020', 0.9545886019331771)]"
C0013,"[('C0016', 0.971366328331935), ('C0012', 0.9703438727833874), ('C0019', 0.8867764474002032)]"
C0014,"[('C0018', 0.9970071974265735), ('C0015', 0.993551250424229), ('C0017', 0.9932417589226415)]"
C0015,"[('C0019', 0.9960995573765207), ('C0018', 0.9945504851111459), ('C0014', 0.993551250424229)]"
C0016,"[('C0013', 0.971366328331935), ('C0012', 0.955818224594265), ('C0020', 0.8254262811681609)]"
C0017,"[('C0014', 0.9932417589226415), ('C0018', 0.987356398608789), ('C0015', 0.973805135316409)]"
C0018,"[('C0014', 0.9970071974265735), ('C0015', 0.9945504851111459), ('C0017', 0.987356398608789)]"
C0019,"[('C0015', 0.9960995573765207), ('C0018', 0.986587889275918), ('C0011', 0.981883167964247)]"
C0020,"[('C0011', 0.9969892709878319), ('C0015', 0.9764551343198317), ('C0014', 0.9718459706063125)]"
